fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;feminicidio;letalidade_violenta;tentat_hom;tentativa_feminicidio;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;ameaca
3304151;Quissamã;2026;1;Interior;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;8;1;7;10
3304201;Resende;2026;1;Interior;1;0;0;1;0;0;1;3;0;44;3;1;7;4;0;0;4;0;0;0;0;0;0;0;0;0;1;1;2;0;6;2;32;0;1;2;90;29;4;25;36
3304300;Rio Bonito;2026;1;Interior;0;0;0;0;0;0;0;0;0;19;0;2;9;1;1;0;2;0;1;0;0;0;0;0;0;0;0;6;0;0;3;0;12;0;2;0;34;4;0;3;22
3304409;Rio Claro;2026;1;Interior;1;0;0;1;0;0;1;0;0;9;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;6;0;0;0;2;1;0;1;3
3304508;Rio das Flores;2026;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0
3304524;Rio das Ostras;2026;1;Interior;0;0;0;0;1;0;1;1;0;49;3;2;33;6;3;1;10;6;1;1;0;0;0;0;0;0;0;9;7;0;8;0;51;0;5;0;72;85;46;37;63
3304557;Rio de Janeiro;2026;1;Capital;82;1;8;91;31;2;124;145;14;2042;158;74;1039;1503;1340;165;3008;1706;171;107;31;0;1;1;6;16;449;684;1199;444;2897;229;4356;0;183;10;6214;313;92;173;2264
3304607;Santa Maria Madalena;2026;1;Interior;1;0;0;1;0;0;1;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;6
3304706;Santo Antônio de Pádua;2026;1;Interior;0;0;0;0;0;0;0;1;0;18;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;16;45;22;15;33
3304755;São Francisco de Itabapoana;2026;1;Interior;4;0;0;4;0;0;4;1;0;8;5;0;0;1;0;0;1;4;0;0;0;0;0;0;0;0;0;1;0;1;0;0;13;0;1;0;18;25;2;8;15
3304805;São Fidélis;2026;1;Interior;0;0;0;0;0;0;0;0;0;14;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;2;6;0;0;0;14;3;2;1;24
3304904;São Gonçalo;2026;1;Grande Niterói;15;0;0;15;10;1;26;22;1;199;21;11;77;100;58;7;165;370;56;1;1;0;1;0;0;0;32;101;31;9;66;9;266;0;4;0;415;53;4;42;168
3305000;São João da Barra;2026;1;Interior;3;0;0;3;0;0;3;1;1;23;2;5;5;3;9;0;12;0;0;0;3;0;0;0;0;0;0;4;1;0;4;0;13;0;0;0;21;26;7;3;35
3305109;São João de Meriti;2026;1;Baixada Fluminense;12;0;1;13;4;0;17;18;1;149;7;0;64;61;65;9;135;175;20;9;1;0;0;0;1;0;30;44;9;8;31;0;143;0;6;0;229;29;2;22;141
3305133;São José de Ubá;2026;1;Interior;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0
3305158;São José do Vale do Rio Preto;2026;1;Interior;0;0;0;0;0;0;0;0;0;9;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;4;13;9;2;12
