fmun_cod,ano,populacao
3300803,2021,59652
3300902,2021,15521
3300936,2021,16859
3300951,2021,8590
3301009,2021,514643
3301108,2021,20163
3301157,2021,12818
3301207,2021,19161
3301306,2021,45864
3301405,2021,23561
3301504,2021,22152
3301603,2021,11563
3301702,2021,929449
3301801,2021,14138
3301850,2021,62225
3301876,2021,29344
3301900,2021,244416
3302007,2021,136547
3302056,2021,15387
3302106,2021,23211
3302205,2021,104354
3302254,2021,32312
3302270,2021,106296
3302304,2021,7298
3302403,2021,266136
3302452,2021,5646
3302502,2021,247741
3302601,2021,45941
3302700,2021,167668
3302809,2021,18681
3302858,2021,177016
3302908,2021,25622
3303005,2021,27134
3303104,2021,15305
3303203,2021,162893
3303302,2021,516981
3303401,2021,191664
3303500,2021,825388
3303609,2021,53093
3303708,2021,44741
3303807,2021,44175
3303856,2021,27942
3303906,2021,307144
3303955,2021,25563
3304003,2021,29802
3304102,2021,19068
3304110,2021,20254
3304128,2021,14562
3304144,2021,152311
3304151,2021,25535
3304201,2021,133244
3304300,2021,60930
3304409,2021,18677
3304508,2021,9401
3304524,2021,159529
3304557,2021,6775561
3304607,2021,10380
3304706,2021,42705
3304755,2021,42214
3304805,2021,38749
3304904,2021,1098357
3305000,2021,36731
3305109,2021,473385
3305133,2021,7240
3305158,2021,22032
3305208,2021,107556
3305307,2021,9416
3305406,2021,18270
3305505,2021,91938
3305554,2021,83841
3305604,2021,21775
3305703,2021,15709
3305752,2021,34898
3305802,2021,185820
3305901,2021,10653
3306008,2021,82468
3306107,2021,77202
3306156,2021,11208
3306206,2021,37262
3306305,2021,274925
3300100,2022,167434
3300159,2022,11034
3300209,2022,129671
3300225,2022,11828
3300233,2022,40006
3300258,2022,30986
3300308,2022,92883
3300407,2022,169894
3300456,2022,483087
3300506,2022,28102
3300605,2022,35173
3300704,2022,222161
3300803,2022,56943
3300902,2022,14616
3300936,2022,13847
3300951,2022,8741
3301009,2022,483540
3301108,2022,19390
3301157,2022,12958
3301207,2022,17198
3301306,2022,46110
3301405,2022,21104
3301504,2022,20783
3301603,2022,10980
3301702,2022,808161
3301801,2022,12242
3301850,2022,51696
3301876,2022,27920
3301900,2022,224267
3302007,2022,116841
3302056,2022,14073
3302106,2022,22919
3302205,2022,101041
3302254,2022,30908
3302270,2022,96289
3302304,2022,7336
3302403,2022,246391
3302452,2022,5415
3302502,2022,228127
3302601,2022,41220
3302700,2022,197277
3302809,2022,17502
3302858,2022,167127
3302908,2022,26582
3303005,2022,26881
3303104,2022,15074
3303203,2022,146774
3303302,2022,481749
3303401,2022,189939
3303500,2022,785867
3303609,2022,41375
3303708,2022,42063
3303807,2022,45243
3303856,2022,29619
3303906,2022,278881
3303955,2022,24298
3304003,2022,27474
3304102,2022,17288
3304110,2022,20373
3304128,2022,13682
3304144,2022,140523
3304151,2022,22393
3304201,2022,129612
3304300,2022,56276
3304409,2022,17401
3304508,2022,8954
3304524,2022,156491
3304557,2022,6211223
3304607,2022,10232
3304706,2022,41325
3304755,2022,45059
3304805,2022,38961
3304904,2022,896744
