fmun_cod,fmun,ano,mes,regiao,hom_doloso,lesao_corp_morte,latrocinio,hom_por_interv_policial,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_transeunte,roubo_celular,roubo_em_coletivo,roubo_veiculo,roubo_carga,roubo_comercio,roubo_residencia,roubo_banco,roubo_cx_eletronico,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas
3300209,Araruama,2014,2,Baixadas Litorâneas,6,0,0,0,5,51,7,4,44,2,1,0,4,0,2,2,0,1,0,0,0,5,13,6,0,13,0,71,0,0,0,23,16
3300225,Areal,2014,2,Centro-Sul Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300233,Armação dos Búzios,2014,2,Baixadas Litorâneas,0,0,0,0,0,30,1,0,20,3,0,0,0,0,0,1,0,0,0,2,0,9,2,1,0,3,0,41,0,0,0,10,11
3300258,Arraial do Cabo,2014,2,Baixadas Litorâneas,1,0,0,0,0,17,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,16,0,0,0,2,12
3300308,Barra do Piraí,2014,2,Médio Paraíba,4,0,0,0,1,36,1,1,15,0,1,0,1,0,0,0,0,0,0,0,0,1,6,0,1,2,0,20,0,0,0,4,23
3300407,Barra Mansa,2014,2,Médio Paraíba,2,0,0,0,5,64,6,0,10,3,0,5,1,0,15,0,0,0,0,0,0,3,14,7,4,9,0,64,0,0,0,11,10
3300456,Belford Roxo,2014,2,Região Metropolitana,21,0,1,1,11,183,15,1,46,132,7,14,95,9,25,1,0,0,1,0,0,14,17,20,4,13,0,80,0,1,0,25,19
3300506,Bom Jardim,2014,2,Região Serrana,0,0,0,0,0,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,8,0,0,0,1,2
3300605,Bom Jesus do Itabapoana,2014,2,Noroeste Fluminense,0,0,0,0,2,23,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,20,0,0,0,0,13
3300704,Cabo Frio,2014,2,Baixadas Litorâneas,7,0,0,2,28,105,8,0,61,40,2,4,9,3,8,1,0,0,0,0,0,57,16,56,4,17,0,166,0,1,0,43,56
3300803,Cachoeiras de Macacu,2014,2,Região Metropolitana,0,0,0,0,1,29,2,5,28,1,0,0,2,0,0,0,0,0,0,1,0,3,1,1,0,1,0,20,0,0,0,4,8
3300902,Cambuci,2014,2,Noroeste Fluminense,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
3300936,Carapebus,2014,2,Norte Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300951,Comendador Levy Gasparian,2014,2,Centro-Sul Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301009,Campos dos Goytacazes,2014,2,Norte Fluminense,29,0,0,2,28,153,13,6,89,87,6,11,22,4,11,2,0,0,0,4,0,10,49,55,25,3,0,194,0,1,1,38,82
3301108,Cantagalo,2014,2,Região Serrana,0,0,0,0,0,14,0,2,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,2,3
3301157,Cardoso Moreira,2014,2,Norte Fluminense,0,0,0,0,0,20,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,5
3301207,Carmo,2014,2,Região Serrana,0,0,0,0,0,11,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4
3301306,Casimiro de Abreu,2014,2,Baixadas Litorâneas,0,0,0,0,0,29,1,0,15,4,0,0,3,0,1,2,0,0,0,0,0,1,2,1,1,2,0,23,0,1,0,4,5
3301405,Conceição de Macabu,2014,2,Norte Fluminense,1,0,0,0,0,11,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,2
3301504,Cordeiro,2014,2,Região Serrana,0,0,0,0,1,14,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,15,0,0,0,2,1
3301603,Duas Barras,2014,2,Região Serrana,0,0,0,0,0,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0
3301702,Duque de Caxias,2014,2,Região Metropolitana,46,1,0,9,40,458,29,14,186,656,22,46,321,69,47,5,0,0,0,7,0,89,88,109,32,30,0,392,0,4,0,136,68
3301801,Engenheiro Paulo de Frontin,2014,2,Centro-Sul Fluminense,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,4
3301850,Guapimirim,2014,2,Região Metropolitana,0,0,0,0,1,37,5,1,13,5,1,0,6,0,2,0,0,0,0,0,0,1,0,2,0,4,0,17,0,0,0,3,3
3301876,Iguaba Grande,2014,2,Baixadas Litorâneas,3,0,0,0,2,7,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,2,0,25,0,0,0,2,1
3301900,Itaboraí,2014,2,Região Metropolitana,6,0,0,1,14,109,12,6,27,67,4,8,24,1,7,2,0,0,0,2,0,16,24,12,4,5,0,95,0,1,0,34,32
3302007,Itaguaí,2014,2,Região Metropolitana,11,0,1,1,13,54,4,3,35,18,2,0,18,2,6,4,0,0,0,0,0,9,21,7,1,5,0,63,0,0,1,31,15
3302056,Italva,2014,2,Noroeste Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3302106,Itaocara,2014,2,Noroeste Fluminense,1,0,0,0,0,16,0,1,5,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,10,0,0,0,3,6
3302205,Itaperuna,2014,2,Noroeste Fluminense,1,0,0,0,8,46,5,0,30,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,3,2,0,41,0,0,0,4,57
3302254,Itatiaia,2014,2,Médio Paraíba,0,0,0,0,0,16,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,1,0,16,0,1,0,3,116
3302270,Japeri,2014,2,Região Metropolitana,3,1,0,0,5,61,0,0,14,8,1,0,3,0,2,1,0,0,0,0,0,3,2,3,0,0,0,27,0,0,0,9,12
3302304,Laje do Muriaé,2014,2,Noroeste Fluminense,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
3302403,Macaé,2014,2,Norte Fluminense,9,0,0,0,20,74,14,4,63,69,0,4,53,2,14,0,0,0,0,0,0,9,22,23,6,11,0,128,0,3,0,32,28
3302452,Macuco,2014,2,Região Serrana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3302502,Magé,2014,2,Região Metropolitana,12,0,1,0,8,164,13,3,52,50,2,4,19,2,2,1,0,0,0,3,0,5,17,11,5,2,0,67,0,2,0,23,19
3302601,Mangaratiba,2014,2,Costa Verde,3,0,0,0,1,26,4,0,10,3,0,1,4,0,0,1,0,0,0,0,0,1,14,2,2,12,0,33,0,0,0,8,7
3302700,Maricá,2014,2,Região Metropolitana,8,0,0,0,8,66,2,3,48,46,3,2,30,0,3,1,0,0,1,0,0,9,13,9,7,1,0,90,0,1,0,18,12
3302809,Mendes,2014,2,Centro-Sul Fluminense,0,0,0,0,0,12,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,3,2
3302858,Mesquita,2014,2,Região Metropolitana,4,0,0,0,3,108,7,1,33,119,0,4,40,2,14,2,0,0,1,0,0,5,20,16,14,3,0,62,0,2,0,19,22
3302908,Miguel Pereira,2014,2,Centro-Sul Fluminense,3,0,0,0,0,23,4,0,9,0,0,0,1,0,0,1,0,0,0,0,0,3,1,4,0,1,0,23,0,0,0,4,5
3303005,Miracema,2014,2,Noroeste Fluminense,0,0,0,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,28
3303104,Natividade,2014,2,Noroeste Fluminense,0,0,0,0,0,10,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,6
3303203,Nilópolis,2014,2,Região Metropolitana,6,0,0,0,2,99,7,1,27,125,17,3,75,3,20,1,0,0,0,1,0,11,14,24,4,17,0,84,0,0,0,24,8
3303302,Niterói,2014,2,Região Metropolitana,9,0,0,11,15,268,20,3,160,302,9,32,122,3,27,6,0,0,0,2,0,42,110,170,25,48,0,331,0,18,1,147,63
3303401,Nova Friburgo,2014,2,Região Serrana,3,0,0,0,2,81,3,0,53,12,2,0,2,0,1,1,0,0,0,1,0,2,8,2,1,6,0,78,0,1,0,29,34
